Model                              , Imbalance_Method        , Accuracy, Precision, Recall, F1_Score, ROC_AUC
XgBoost                            , Baseline                ,   0.7531,    0.7521, 0.7531,   0.7517, 0.9009
XgBoost                            , RandomUnderSampler      ,   0.7276,    0.7418, 0.7276,   0.7313, 0.8928
XgBoost                            , TomekLinks              ,   0.7564,    0.7556, 0.7564,   0.7545, 0.9018
XgBoost                            , RandomOverSampler       ,   0.7425,    0.7516, 0.7425,   0.7455, 0.8988
XgBoost                            , SMOTE                   ,   0.7501,    0.7529, 0.7501,   0.7512, 0.8989
XgBoost                            , ADASYN                  ,   0.7442,    0.7459, 0.7442,   0.7448, 0.8983
XgBoost                            , SMOTETomek              ,   0.7509,    0.7541, 0.7509,   0.7521, 0.8992
XgBoost                            , SMOTEENN                ,   0.7102,    0.7394, 0.7102,   0.7145, 0.8898
Stacking Clafier                   , Baseline                ,   0.7611,    0.7604, 0.7611,   0.7597, 0.9053
Stacking Clafier                   , RandomUnderSampler      ,   0.7402,    0.7528, 0.7402,   0.7436, 0.8988
Stacking Clafier                   , TomekLinks              ,   0.7615,    0.7611, 0.7615,   0.7597, 0.9048
Stacking Clafier                   , RandomOverSampler       ,   0.7487,    0.7604, 0.7487,   0.7521, 
Stacking Clafier                   , SMOTE                   ,   0.7583,    0.762 , 0.7583,   0.7596, 0.9032
Stacking Clafier                   , ADASYN                  ,   0.7475,    0.7509, 0.7475,   0.7484, 0.903
Stacking Clafier                   , SMOTETomek              ,   0.7561,    0.76  , 0.7561,   0.7575, 0.9035
Stacking Clafier                   , SMOTEENN                ,   0.7091,    0.7412, 0.7091,   0.7135, 0.8923
VotingClassifier (LR+RFC+SVC)      , Baseline                ,   0.7492,    0.7463, 0.7492,   0.745 , 0.8964
VotingClassifier (LR+RFC+SVC)      , RandomUnderSampler      ,   0.7182,    0.7295, 0.7182,   0.7209, 0.8918
VotingClassifier (LR+RFC+SVC)      , TomekLinks              ,   0.7454,    0.7416, 0.7454,   0.7401, 0.8953
VotingClassifier (LR+RFC+SVC)      , RandomOverSampler       ,   0.7351,    0.7418, 0.7351,   0.7372, 0.8963
VotingClassifier (LR+RFC+SVC)      , SMOTE                   ,   0.7287,    0.7365, 0.7287,   0.731 , 0.8945
VotingClassifier (LR+RFC+SVC)      , ADASYN                  ,   0.7273,    0.736 , 0.7273,   0.7295, 0.8942
VotingClassifier (LR+RFC+SVC)      , SMOTETomek              ,   0.7285,    0.7366, 0.7285,   0.7309, 0.8946
VotingClassifier (LR+RFC+SVC)      , SMOTEENN                ,   0.6743,    0.7157, 0.6743,   0.6782, 0.884
VotingClassifier Optuna v2 (Final) , Baseline                ,   0.7524,    0.75  , 0.7524,   0.7488, 0.8989
BaggingClassifier v2 (DecisionTree), Baseline                ,   0.7508,    0.7487, 0.7508,   0.7481, 0.8963
BaggingClassifier v2 (DecisionTree), RandomUnderSampler      ,   0.7286,    0.7403, 0.7286,   0.7319, 0.8911
BaggingClassifier v2 (DecisionTree), TomekLinks              ,   0.7528,    0.7512, 0.7528,   0.7497, 0.8958
BaggingClassifier v2 (DecisionTree), RandomOverSampler       ,   0.7454,    0.7469, 0.7454,   0.7458, 0.8957
BaggingClassifier v2 (DecisionTree), SMOTE                   ,   0.737 ,    0.7416, 0.737 ,   0.7387, 0.8934
BaggingClassifier v2 (DecisionTree), ADASYN                  ,   0.7374,    0.7429, 0.7374,   0.7393, 0.8935
BaggingClassifier v2 (DecisionTree), SMOTETomek              ,   0.7412,    0.7465, 0.7412,   0.743 , 0.8954
BaggingClassifier v2 (DecisionTree), SMOTEENN                ,   0.6982,    0.734 , 0.6982,   0.7026, 0.8856
BaggingClassifier v2 Optuna (Final), TomekLinks              ,   0.7555,    0.7544, 0.7555,   0.7527, 0.8994
GradientBoosting                   , No Resampling (Baseline),   0.7601,    0.7744, 0.7534,   0.7628, 0.9171
GradientBoosting                   , RandomOverSampler       ,   0.7398,    0.752 , 0.7589,   0.7526, 0.9139
GradientBoosting                   , SMOTE                   ,   0.7411,    0.7488, 0.7545,   0.75  , 0.9132
GradientBoosting                   , RandomUnderSampler      ,   0.7361,    0.7468, 0.7576,   0.7493, 0.9122
GradientBoosting                   , SMOTEENN                ,   0.6871,    0.7097, 0.7354,   0.7081, 0.9009
GradientBoosting                   , Adasyn                  ,   0.739 ,    0.7422, 0.754 ,   0.7456, 0.9124
GradientBoosting                   , Tomek Links             ,   0.7567,    0.7683, 0.752 ,   0.7583, 0.9162
GradientBoosting                   , SMOTETomek              ,   0.7425,    0.7503, 0.7567,   0.7517, 0.9131
AdaBoosting                        , No Resampling (Baseline),   0.7087,    0.7137, 0.6768,   0.6911, 0.8736
AdaBoosting                        , RandomOverSampler       ,   0.6836,    0.6708, 0.7025,   0.684 , 0.8716
AdaBoosting                        , SMOTE                   ,   0.6737,    0.6591, 0.6892,   0.6714, 0.8651
AdaBoosting                        , RandomUnderSampler      ,   0.6784,    0.6664, 0.6962,   0.6786, 0.867
AdaBoosting                        , SMOTEENN                ,   0.5971,    0.5925, 0.6464,   0.5983, 0.8631
AdaBoosting                        , SMOTETomek              ,   0.6798,    0.665 , 0.6935,   0.677 , 0.8704
AdaBoosting                        , Tomek Links             ,   0.7127,    0.7158, 0.6819,   0.6944, 0.8733
AdaBoosting                        , Adasyn                  ,   0.6717,    0.6484, 0.6824,   0.6614, 0.8705
